7;UK;LGW;PUJ;2016-04-01T12:05:00;2016-04-01T15:55:00
7;DR;PUJ;GRU;2016-04-21T01:50:00;2016-04-21T10:00:00
7;BR;GRU;YYZ;2016-09-21T20:05:00;2016-09-22T05:40:00
7;CA;YYZ;MUC;2016-12-01T20:10:00;2016-12-02T10:00:00
7;GM;MUC;LIS;2016-12-08T13:00:00;2016-12-08T15:15:00
7;PO;LIS;CPH;2016-12-18T09:15:00;2016-12-18T13:55:00
7;DA;CPH;AMS;2016-12-22T12:10:00;2016-12-22T13:35:00
7;NL;AMS;VIE;2016-12-26T07:10:00;2016-12-26T09:05:00
7;AU;VIE;TFS;2017-01-07T03:00:00;2017-01-07T07:20:00
8;SP;VLC;LGW;2016-03-26T17:05:00;2016-03-26T18:25:00
8;UK;LGW;PUJ;2016-04-01T12:05:00;2016-04-01T15:55:00
8;DR;PUJ;GRU;2016-04-21T01:50:00;2016-04-21T10:00:00
8;BR;GRU;YYZ;2016-09-21T20:05:00;2016-09-22T05:40:00
8;CA;YYZ;MUC;2016-12-01T20:10:00;2016-12-02T10:00:00
8;GM;MUC;LIS;2016-12-08T13:00:00;2016-12-08T15:15:00
8;PO;LIS;CPH;2016-12-18T09:15:00;2016-12-18T13:55:00
8;DA;CPH;AMS;2016-12-22T12:10:00;2016-12-22T13:35:00
8;NL;AMS;VIE;2016-12-26T10:20:00;2016-12-26T12:10:00
8;AU;VIE;TFS;2017-01-07T03:00:00;2017-01-07T07:20:00
9;SP;VLC;LGW;2016-03-26T17:05:00;2016-03-26T18:25:00
9;UK;LGW;PUJ;2016-04-01T12:05:00;2016-04-01T15:55:00
9;DR;PUJ;GRU;2016-04-21T01:50:00;2016-04-21T10:00:00
9;BR;GRU;YYZ;2016-09-21T20:05:00;2016-09-22T05:40:00
9;CA;YYZ;MUC;2016-12-01T20:10:00;2016-12-02T10:00:00
9;GM;MUC;LIS;2016-12-08T13:00:00;2016-12-08T15:15:00
9;PO;LIS;CPH;2016-12-18T09:15:00;2016-12-18T13:55:00
9;DA;CPH;AMS;2016-12-22T12:10:00;2016-12-22T13:35:00
9;NL;AMS;VIE;2016-12-26T20:00:00;2016-12-26T21:50:00
9;AU;VIE;TFS;2017-01-07T03:00:00;2017-01-07T07:20:00
10;SP;VLC;LGW;2016-03-26T17:05:00;2016-03-26T18:25:00
10;UK;LGW;PUJ;2016-04-01T12:05:00;2016-04-01T15:55:00
10;DR;PUJ;GRU;2016-04-21T01:50:00;2016-04-21T10:00:00
10;BR;GRU;YYZ;2016-09-21T20:05:00;2016-09-22T05:40:00
10;CA;YYZ;MUC;2016-12-01T20:10:00;2016-12-02T10:00:00
10;GM;MUC;LIS;2016-12-08T13:00:00;2016-12-08T15:15:00
10;PO;LIS;CPH;2016-12-18T17:10:00;2016-12-18T21:45:00
10;DA;CPH;AMS;2016-12-22T12:10:00;2016-12-22T13:35:00
10;NL;AMS;VIE;2016-12-26T07:10:00;2016-12-26T09:05:00
10;AU;VIE;TFS;2017-01-07T03:00:00;2017-01-07T07:20:00
11;SP;VLC;LGW;2016-03-26T17:05:00;2016-03-26T18:25:00
11;UK;LGW;PUJ;2016-04-01T12:05:00;2016-04-01T15:55:00
11;DR;PUJ;GRU;2016-04-21T01:50:00;2016-04-21T10:00:00
11;BR;GRU;YYZ;2016-09-21T20:05:00;2016-09-22T05:40:00
11;CA;YYZ;MUC;2016-12-01T20:10:00;2016-12-02T10:00:00
11;GM;MUC;LIS;2016-12-08T13:00:00;2016-12-08T15:15:00
11;PO;LIS;CPH;2016-12-18T17:10:00;2016-12-18T21:45:00
11;DA;CPH;AMS;2016-12-22T12:10:00;2016-12-22T13:35:00
11;NL;AMS;VIE;2016-12-26T10:20:00;2016-12-26T12:10:00
11;AU;VIE;TFS;2017-01-07T03:00:00;2017-01-07T07:20:00
12;SP;VLC;LGW;2016-03-26T17:05:00;2016-03-26T18:25:00
12;UK;LGW;PUJ;2016-04-01T12:05:00;2016-04-01T15:55:00
12;DR;PUJ;GRU;2016-04-21T01:50:00;2016-04-21T10:00:00
12;BR;GRU;YYZ;2016-09-21T20:05:00;2016-09-22T05:40:00
12;CA;YYZ;MUC;2016-12-01T20:10:00;2016-12-02T10:00:00
12;GM;MUC;LIS;2016-12-08T13:00:00;2016-12-08T15:15:00
12;PO;LIS;CPH;2016-12-18T17:10:00;2016-12-18T21:45:00
12;DA;CPH;AMS;2016-12-22T12:10:00;2016-12-22T13:35:00
12;NL;AMS;VIE;2016-12-26T20:00:00;2016-12-26T21:50:00
12;AU;VIE;TFS;2017-01-07T03:00:00;2017-01-07T07:20:00
13;SP;VLC;LGW;2016-03-26T17:05:00;2016-03-26T18:25:00
13;UK;LGW;PUJ;2016-04-01T12:05:00;2016-04-01T15:55:00
13;DR;PUJ;GRU;2016-04-21T01:50:00;2016-04-21T10:00:00
13;BR;GRU;YYZ;2016-09-21T20:05:00;2016-09-22T05:40:00
13;CA;YYZ;MUC;2016-12-01T20:10:00;2016-12-02T10:00:00
13;GM;MUC;LIS;2016-12-08T13:00:00;2016-12-08T15:15:00
13;PO;LIS;GVA;2016-12-09T08:10:00;2016-12-09T11:40:00
